1c. LEA ID,1s. Latitude,1t. Longitude,1a. State,1b. Local Education Agency (LEA) or entity name,1l. LEA type (name),adoption_count,adopted,knn5_peer_adopt_count,knn5_peer_adopt_share,knn5_peer_adopt_share_idw,within_50km_peer_count,within_50km_peer_adopt_count,within_50km_peer_adopt_share,within_100km_peer_count,within_100km_peer_adopt_count,within_100km_peer_adopt_share
200330,55.207545,-132.825933,ALASKA,Hydaburg City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,5,0,0.0
200360,56.977702,-133.947065,ALASKA,Kake City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,4,0,0.0
200390,60.48968,-151.071451,ALASKA,Kenai Peninsula Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,2,0,0.0
200450,55.553553,-133.099033,ALASKA,Klawock City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,3,0,0.0,4,0,0.0
200480,57.794069,-152.395226,ALASKA,Kodiak Island Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200485,58.701946,-156.666093,ALASKA,Lake and Peninsula Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200510,61.611321,-149.097358,ALASKA,Matanuska-Susitna Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,3,0,0.0
200520,62.95433,-155.595578,ALASKA,Iditarod Area School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200525,55.126236,-131.577064,ALASKA,Annette Island School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,3,0,0.0
200540,64.561776,-149.088866,ALASKA,Nenana City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,3,0,0.0
200570,64.542453,-165.40547,ALASKA,Nome Public Schools,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200600,64.842168,-147.718047,ALASKA,Fairbanks North Star Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,2,0,0.0
200610,71.291244,-156.788489,ALASKA,North Slope Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200625,66.901524,-162.586946,ALASKA,Northwest Arctic Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200630,57.956804,-136.222059,ALASKA,Pelican City School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200660,56.814831,-132.954464,ALASKA,Petersburg Borough School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,2,0,0.0
200670,57.120896,-170.279219,ALASKA,Pribilof School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,0,0,,0,0,
200680,62.052226,-163.180707,ALASKA,Saint Mary's School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200690,59.463181,-135.307408,ALASKA,Skagway School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,1,0,0.0,1,0,0.0
200700,55.689263,-132.524451,ALASKA,Southeast Island School District,Regular public school district that is not a component of a supervisory union,0,0,0,0.0,0.0,2,0,0.0,6,0,0.0
