nces_id,state,urbanicity,enrollment,median_income,poverty_rate,pct_white,pm25,priority_r1,priority_r23,r1_fuel_group,is_r1_third_party,IV_Z_R1,is_r3_third_party,IV_Z_R3,IS_R2_GRANTEE,is_r1_loser_third_party,IS_R1_LOSER,is_r3_loser_third_party,IS_R3_LOSER,IV_Z,IS_ADOPTER,IS_ADOPTER_CSBP_ANY,IS_LOSER_R1_only,IS_LOSER_R3_only,IS_LOSER_pooled,Y_R3_apply,wri_any_2023,wri_any_2024,wri_any_2023_24,wri_awarded_by_2023,wri_awarded_by_2024,wri_delivered_by_2023q3,wri_operating_by_2023q3,wri_visible_by_2023q3,wri_post_ann_2022,is_pre_r1_adopter,wri_first_oem,wri_first_dealer,year_first_awarded,year_first_operating,year_first_delivered,wri_post_r1_cum,r1_first_delivery_year,r1_first_delivery_q_index,r1_first_operating_year,r1_first_operating_q_index,r1_early_delivery,r1_late_or_unknown,r1_pre_r3_delivery,r1_post_r3_delivery,r1_delivery_unknown,r1_pre_r3_operating,r1_post_r3_operating,r1_operating_unknown,pct_dem_2020
0100212,ALABAMA,Urban,,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.4481560017867503
0100213,ALABAMA,Suburban,79.0,,,,,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.5575851317178562
0100240,ALABAMA,Rural,9202.0,62660.0,0.136,0.7509999999999999,9.64178926,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.27018365142239825
0100270,ALABAMA,Rural,31517.0,65543.0,0.093,0.8370000000000001,8.61956412,0,0,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.22409029987509005
0100300,ALABAMA,Rural,715.0,36864.0,0.223,0.43,8.990656011,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.45788172656398557
0100330,ALABAMA,Suburban,3246.0,32416.0,0.288,0.203,10.05846203,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.5575851317178562
0100360,ALABAMA,Town,3098.0,54277.0,0.1689999999999999,0.759,9.401276964,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.20698280354351226
2501710,MASSACHUSETTS,Suburban,5197.0,137945.0,0.031,0.665,6.596857068,0,0,ZE_only,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,,,2024.0,,,1,,,,,,,,,,,,,0.7099535628465964
0100420,ALABAMA,Rural,7798.0,54157.0,0.128,0.928,9.126504808,1,0,ZE_only,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.09569377990430622
0100450,ALABAMA,Town,1224.0,44528.0,0.184,0.5760000000000001,8.875079996,1,1,nonapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,0.3091137649277184
