nces_id,state,precip,tmin,precip_state_resid,tmin_state_resid,precip_state_z,tmin_state_z,hdd_proxy,cdd_proxy,hdd_proxy_state_resid,cdd_proxy_state_resid,climate_anomaly
0102490,AL,133.194,3.424,-2.486534466666683,2.5449413486066668,-0.35530868368223,1.7016633046065357,2623.6800000000003,0.0,-458.08944274919986,0.0,1.7383619481984856
0102520,AL,134.13379,-0.6035,-1.5467444666666665,-1.4825586513933333,-0.22101915248367063,-0.9913060100124539,3348.63,0.0,266.86055725079996,0.0,1.0156461348577128
0102550,AL,139.3979,-0.037299998,3.7173655333333215,-0.9163586493933333,0.5311859827887142,-0.6127189879582738,3246.71399964,0.0,164.94455689079996,0.0,0.8109149810651074
0102580,AL,129.7039,0.85819995,-5.976634466666667,-0.020858701393333234,-0.8540199839047072,-0.01394707456115376,3085.524009,0.0,3.7545662508000532,0.0,0.8541338617555276
0102610,AL,132.82689,3.1683,-2.8536444666666796,2.2892413486066667,-0.4077661792911446,1.5306906779775906,2669.706,0.0,-412.0634427492,0.0,1.5840729808380654
0102635,AL,134.1149,0.095699996,-1.5656344666666655,-0.7833586553933333,-0.2237184036401424,-0.5237891548889976,3222.77400072,0.0,141.00455797079985,0.0,0.5695656265142973
0102640,AL,128.73889,3.2389998,-6.9416444666666735,2.359941148606667,-0.9919132797494389,1.5779637734337546,2656.980036,0.0,-424.7894067492002,0.0,1.8638298272140035
0102650,AL,133.9539,-0.0991,-1.7266344666666669,-0.9781586513933332,-0.2467241969801097,-0.6540412744956772,3257.838,0.0,176.06855725080004,0.0,0.6990299121778765
0102670,AL,136.24089,1.4448999,0.5603555333333361,0.5658412486066667,0.08007095401722844,0.37834714325101143,2979.9180180000003,0.0,-101.85142474919985,0.0,0.38672718870468686
0102700,AL,116.8059,1.735,-18.874634466666677,0.8559413486066668,-2.6970555273761105,0.5723212382151084,2927.7000000000003,0.0,-154.06944274919988,0.0,2.7571108279251497
0102730,AL,142.72789,0.7558,7.047355533333331,-0.12325865139333325,1.0070186645536663,-0.08241632922745266,3103.9559999999997,0.0,22.186557250799524,0.0,1.0103855907933255
0102760,AL,129.423,-0.5536,-6.2575344666666695,-1.4326586513933333,-0.8941586630922651,-0.9579406049722335,3339.6479999999997,0.0,257.87855725079953,0.0,1.3104083018042565
0102790,AL,119.9929,2.2900999,-15.687634466666665,1.4110412486066668,-2.2416551337458284,0.9434862282208364,2827.782018,0.0,-253.98742474920027,0.0,2.4321151291605023
0102820,AL,132.7639,-0.20539999,-2.9166344666666646,-1.0844586413933333,-0.4167670173189967,-0.7251182729349833,3276.9719982,0.0,195.2025554508,0.0,0.8363559388616703
0102850,AL,131.6329,-0.086899996,-4.047634466666665,-0.9659586473933333,-0.5783791432041072,-0.6458837980437271,3255.64199928,0.0,173.8725565308,0.0,0.866999604307238
0102880,AL,117.6959,1.4907999,-17.984634466666677,0.6117412486066668,-2.569880644937783,0.4090379667248815,2971.656018,0.0,-110.11342474920002,0.0,2.6022295416523615
0102910,AL,136.4129,-0.9259,0.7323655333333363,-1.8049586513933331,0.10465000067814612,-1.2068772842602904,3406.662,0.0,324.89255725079965,0.0,1.2114059608180199
0102940,AL,147.2769,-0.91889995,11.59636553333334,-1.7979586013933333,1.6570409251837532,-1.2021967330869079,3405.401991,0.0,323.6325482508,0.0,2.047208248512755
1903220,IA,15.9809,-13.118099,-9.399036023391814,-1.2989413845029247,-1.633728751646168,-0.9610227157558455,5601.25782,0.0,233.8094492105256,0.0,1.8954245683102473
0103000,AL,134.136,-0.52529997,-1.5445344666666756,-1.4043586213933332,-0.22070335867447113,-0.9390179203309431,3334.5539946,0.0,252.78455185079974,0.0,0.9646059440169554
0103030,AL,134.192,1.2494,-1.488534466666664,0.3703413486066668,-0.2127013435996983,0.24762703606017822,3015.1079999999997,0.0,-66.66144274920043,0.0,0.3264368400733375
0103062,AL,136.7079,-0.050899997,1.0273655333333238,-0.9299586483933333,0.14680347294702817,-0.6218125646152195,3249.1619994599996,0.0,167.39255671079945,0.0,0.6389069769400436
0103090,AL,136.401,1.0758,0.7204655333333392,0.1967413486066668,0.10294957247475765,0.13155019608057386,3046.3559999999998,0.0,-35.413442749200385,0.0,0.1670451093614321
0103120,AL,136.35289,0.19309999,0.6723555333333309,-0.6859586613933333,0.09607498416677003,-0.4586630977602394,3205.2420018,0.0,123.47255905079965,0.0,0.46861737038832013
0103150,AL,136.47,-0.12629999,0.7894655333333276,-1.0053586413933333,0.11280919819188476,-0.6722284224604055,3262.7339982,0.0,180.9645554507997,0.0,0.6816281736843786
0103180,AL,135.6609,-0.036199998,-0.019634466666673234,-0.9152586493933332,-0.0028056303259252,-0.6119834780275274,3246.5159996400002,0.0,164.7465568908001,0.0,0.6119899091816751
0103210,AL,132.1519,0.6523,-3.5286344666666594,-0.2267586513933333,-0.5042176106361379,-0.1516211272567675,3122.586,0.0,40.81655725079963,0.0,0.5265210015813508
0103240,AL,130.5699,1.6647999,-5.110634466666681,0.7857412486066667,-0.7302745364984266,0.5253822648611208,2940.3360180000004,0.0,-141.43342474919973,0.0,0.8996262684518458
