ncessch,precip_mm,tmin_c,is_charter
0604860,108.314896,-9.4826,0
0606540,46.6739,3.0871,0
0608850,61.4629,3.345,0
0619800,55.025898,3.2603998,1
0604350,209.56389,2.8134,0
0605220,195.50189,-0.363,0
0607680,155.7699,2.8415,0
0607770,297.63,1.2192,0
0609450,191.0739,3.1403,0
0609990,158.54889,2.8257,0
0612810,180.9449,3.1338,0
0614490,235.3429,2.4041998,0
0615690,215.4559,3.0735998,0
0625290,56.6909,3.2739,0
0625350,58.694897,3.3134,0
0628530,62.8699,3.4189,0
0629400,61.1779,3.3592,0
0630390,199.39389,-9.2754,0
0631680,50.173,2.9528,0
0641460,61.5459,3.3802,0
0604980,87.7939,-2.6675,0
0616570,179.5609,2.8587,0
0618160,151.57089,0.70269996,0
0619200,170.3329,2.978,0
0624930,184.35289,2.8386998,0
0627040,266.2689,1.5453,0
0627510,161.7079,2.937,0
0627870,223.235,2.0534,0
0629280,158.2139,2.8244998,0
0632040,190.70189,3.0412,0
0636570,293.7149,1.3528,0
0642420,270.5599,-3.615,0
0603420,69.1879,3.4993,0
0603750,69.3929,3.5953999,0
0612150,65.888,3.1334,0
0621240,68.1119,3.3058999,0
0622170,67.0049,3.3992999,0
0624360,66.8519,3.2217999,0
0624600,69.5049,3.3674998,0
0624630,70.3529,3.5414,0
0630810,66.7439,3.1571,0
0630840,65.0219,3.207,0
0636960,71.8639,3.6329,0
0641880,69.6389,3.2524998,0
0642960,69.2779,3.5339,0
0605490,94.443,-1.8980999,0
0606690,105.9739,-2.2941,0
0611670,364.2028,-0.3931,0
0614040,221.99489,-0.435,0
0614970,84.9109,-2.0399,0
0616110,61.7659,-1.9911,0
0616530,626.1679,0.97419995,0
0617620,111.079895,-1.4254999,0
0619230,255.5049,1.5036,0
0619920,90.6739,-0.98279995,0
0621960,96.6119,-2.3013,0
0624210,190.2089,-3.1029,0
0625380,69.2419,-2.7079,0
0626040,160.32689,-2.5525,0
0605640,291.5039,5.3845,0
0616560,219.67589,4.0485,0
0621990,145.8499,5.7692,0
0626070,209.5179,4.1528,0
0629340,176.89189,5.5095,0
0635590,231.9589,4.466,0
0637290,167.4019,5.1840997,0
0642060,60.699898,3.276,0
0642210,42.6909,3.2724998,0
0636240,298.0419,-0.6387,0
0641980,142.151,-4.9993,0
0642600,86.7839,-2.8869,0
0643380,92.4598,0.0202,0
0603720,104.649895,4.3856,0
0605280,99.8639,7.0358,0
0605580,77.8258,5.803,0
0606330,116.1569,4.7353,0
0609270,136.2449,8.3239,0
0609330,218.11,5.4,0
0615510,138.57489,7.0077,0
0616260,84.2008,5.9723997,0
0617490,117.054,7.1324,0
0622920,151.0939,3.3967998,0
0625500,130.104,7.5200996,0
0628710,88.0609,5.9488,0
0637110,123.6319,4.4237,0
0641220,120.6979,6.1635,0
0636990,60.143898,8.2919,0
0637380,47.8129,8.918,0
0637680,108.772896,3.5597,0
0640710,84.286896,7.805,0
0621420,78.581,9.5163,0
0607740,99.6279,6.1675997,0
0620880,32.5939,-0.4393,0
0605790,11.4829,5.4333997,0
0612030,9.8529,5.7458,0
0616830,10.073899,5.8708,0
0623460,13.9829,5.4958997,0
