NCES District ID,IS_APPLICANT,Round,IS_ADOPTER,NUM_ADOPTED,Funding Mechanism,IV_Z
0622650,1,R1 - 2022 Rebates,0,0.0,None,0
0622710,1,R1 - 2022 Rebates,1,50.0,COMPETITIVE_R2,0
0622740,1,R1 - 2022 Rebates,0,0.0,None,0
0623160,1,R1 - 2022 Rebates,0,0.0,None,0
0623820,1,R2 - Grants,0,0.0,None,0
0623940,1,R2 - Grants,0,0.0,None,0
0624480,1,R1 - 2022 Rebates,0,0.0,None,0
0624630,1,R1 - 2022 Rebates,0,0.0,None,0
0624930,1,R1 - 2022 Rebates,0,0.0,None,0
0625130,1,R2 - Grants,0,0.0,None,0
0625150,1,R2 - Grants,0,0.0,None,0
0625230,1,R1 - 2022 Rebates,0,0.0,None,0
0625470,1,R2 - Grants,0,0.0,None,0
0625800,1,R3 - 2023 Rebates,0,0.0,None,0
0626100,1,R1 - 2022 Rebates,0,0.0,None,0
0626190,1,R1 - 2022 Rebates,0,0.0,None,0
0626280,1,R1 - 2022 Rebates,0,0.0,None,0
0626370,1,R1 - 2022 Rebates,0,0.0,None,0
0626670,1,R1 - 2022 Rebates,0,0.0,None,0
0627040,1,R1 - 2022 Rebates,0,0.0,None,0
0627240,1,R1 - 2022 Rebates,0,0.0,None,0
0628050,1,R1 - 2022 Rebates,1,10.0,COMPETITIVE_R2,0
0628140,1,R1 - 2022 Rebates,0,0.0,None,0
0628170,1,R1 - 2022 Rebates,0,0.0,None,0
0628470,1,R1 - 2022 Rebates,0,0.0,None,0
0628650,1,R1 - 2022 Rebates,0,0.0,None,0
0629220,1,R1 - 2022 Rebates,0,0.0,None,0
0629270,1,R1 - 2022 Rebates,0,0.0,None,0
0629490,1,R1 - 2022 Rebates,0,0.0,None,0
0629550,1,R3 - 2023 Rebates,1,5.0,COMPETITIVE_R2,0
0629580,1,R1 - 2022 Rebates,0,0.0,None,0
0630630,1,R1 - 2022 Rebates,0,0.0,None,0
0631530,1,R1 - 2022 Rebates,0,0.0,None,0
0632610,1,R1 - 2022 Rebates,0,0.0,None,0
0633150,1,R3 - 2023 Rebates,1,2.0,COMPETITIVE_R2,0
0633840,1,R1 - 2022 Rebates,0,0.0,None,0
0633900,1,R2 - Grants,0,0.0,None,0
0633930,1,R1 - 2022 Rebates,0,0.0,None,0
0634170,1,R3 - 2023 Rebates,0,0.0,None,0
0634320,1,R1 - 2022 Rebates,1,30.0,COMPETITIVE_R2,0
0634410,1,R1 - 2022 Rebates,1,37.0,COMPETITIVE_R2,0
0634800,1,R1 - 2022 Rebates,0,0.0,None,0
0634880,1,R1 - 2022 Rebates,0,0.0,None,0
0635070,1,R1 - 2022 Rebates,0,0.0,None,0
0635250,1,R1 - 2022 Rebates,0,0.0,None,0
0635430,1,R1 - 2022 Rebates,0,0.0,None,0
0635880,1,R1 - 2022 Rebates,0,0.0,None,0
0635970,1,R1 - 2022 Rebates,0,0.0,None,0
0636270,1,R1 - 2022 Rebates,0,0.0,None,0
0636660,1,R2 - Grants,0,0.0,None,0
0636805,1,R1 - 2022 Rebates,0,0.0,None,0
0636840,1,R1 - 2022 Rebates,0,0.0,None,0
0637140,1,R2 - Grants,0,0.0,None,0
0637950,1,R2 - Grants,0,0.0,None,0
0638010,1,R2 - Grants,0,0.0,None,0
0638220,1,R1 - 2022 Rebates,0,0.0,None,0
0638460,1,R1 - 2022 Rebates,0,0.0,None,0
0638670,1,R2 - Grants,0,0.0,None,0
0638770,1,R1 - 2022 Rebates,0,0.0,None,0
0639060,1,R1 - 2022 Rebates,0,0.0,None,0
0639930,1,R1 - 2022 Rebates,0,0.0,None,0
0640980,1,R1 - 2022 Rebates,0,0.0,None,0
0641130,1,R2 - Grants,0,0.0,None,0
0642000,1,R1 - 2022 Rebates,0,0.0,None,0
0642350,1,R1 - 2022 Rebates,0,0.0,None,0
0642480,1,R1 - 2022 Rebates,0,0.0,None,0
0691001,1,R2 - Grants,0,0.0,None,0
0691037,1,R1 - 2022 Rebates,0,0.0,None,0
0691041,1,R2 - Grants,0,0.0,None,0
0691078,1,R3 - 2023 Rebates,1,2.0,COMPETITIVE_R2,0
0691134,1,R2 - Grants,0,0.0,None,0
0800020,0,,1,9.0,COMPETITIVE_R2,0
0800237,1,R3 - 2023 Rebates,0,0.0,None,0
0800291,1,R1 - 2022 Rebates,0,0.0,None,0
0801950,1,R1 - 2022 Rebates,0,0.0,None,0
0802010,1,R1 - 2022 Rebates,0,0.0,None,0
0802490,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0803030,1,R1 - 2022 Rebates,0,0.0,None,0
0803360,1,R1 - 2022 Rebates,1,20.0,COMPETITIVE_R2,0
0803720,1,R1 - 2022 Rebates,0,0.0,None,0
0803990,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0804260,1,R1 - 2022 Rebates,0,0.0,None,0
0804380,1,R1 - 2022 Rebates,0,0.0,None,0
0804500,1,R1 - 2022 Rebates,0,0.0,None,0
0804800,1,R1 - 2022 Rebates,0,0.0,None,0
0805070,1,R1 - 2022 Rebates,1,2.0,COMPETITIVE_R2,0
0805220,1,R1 - 2022 Rebates,0,0.0,None,0
0805370,1,R1 - 2022 Rebates,0,0.0,None,0
0805400,0,,1,3.0,COMPETITIVE_R2,0
0805490,1,R1 - 2022 Rebates,0,0.0,None,0
0805550,1,R1 - 2022 Rebates,0,0.0,None,0
0805580,1,R3 - 2023 Rebates,0,0.0,None,0
0805700,1,R1 - 2022 Rebates,0,0.0,None,0
0805730,1,R1 - 2022 Rebates,0,0.0,None,0
0805760,1,R3 - 2023 Rebates,0,0.0,None,0
0806210,1,R1 - 2022 Rebates,0,0.0,None,0
0806660,0,,1,3.0,COMPETITIVE_R2,0
0806810,1,R1 - 2022 Rebates,1,4.0,COMPETITIVE_R2,0
0806900,1,R1 - 2022 Rebates,0,0.0,None,0
0807140,1,R1 - 2022 Rebates,0,0.0,None,0
0900002,1,R3 - 2023 Rebates,1,25.0,COMPETITIVE_R2,0
0900450,1,R1 - 2022 Rebates,0,0.0,None,0
0900630,1,R1 - 2022 Rebates,0,0.0,None,0
0900900,1,R1 - 2022 Rebates,0,0.0,None,0
0901620,1,R1 - 2022 Rebates,0,0.0,None,0
0901890,1,R1 - 2022 Rebates,0,0.0,None,0
0901920,1,R1 - 2022 Rebates,1,25.0,COMPETITIVE_R2,0
0902160,1,R1 - 2022 Rebates,0,0.0,None,0
0902220,1,R1 - 2022 Rebates,0,0.0,None,0
0902790,1,R3 - 2023 Rebates,0,0.0,None,0
0902820,1,R2 - Grants,0,0.0,None,0
0902880,1,R1 - 2022 Rebates,0,0.0,None,0
0903120,1,R2 - Grants,0,0.0,None,0
0903515,1,R1 - 2022 Rebates,0,0.0,None,0
0903660,1,R1 - 2022 Rebates,0,0.0,None,0
0904650,1,R1 - 2022 Rebates,0,0.0,None,0
0905040,1,R1 - 2022 Rebates,0,0.0,None,0
1000180,1,R1 - 2022 Rebates,0,0.0,None,0
1000190,1,R1 - 2022 Rebates,0,0.0,None,0
1001240,1,R1 - 2022 Rebates,0,0.0,None,0
1001300,1,R1 - 2022 Rebates,0,0.0,None,0
1100030,1,R2 - Grants,0,0.0,None,0
1200030,1,R3 - 2023 Rebates,0,0.0,None,0
1200150,1,R1 - 2022 Rebates,0,0.0,None,0
1200180,1,R2 - Grants,0,0.0,None,0
1200360,1,R3 - 2023 Rebates,1,6.0,COMPETITIVE_R2,0
1200390,1,R1 - 2022 Rebates,1,50.0,COMPETITIVE_R2,0
1200480,1,R1 - 2022 Rebates,1,26.0,COMPETITIVE_R2,0
1200540,1,R1 - 2022 Rebates,0,0.0,None,0
1200600,1,R1 - 2022 Rebates,0,0.0,None,0
1200630,1,R1 - 2022 Rebates,0,0.0,None,0
1200660,1,R1 - 2022 Rebates,0,0.0,None,0
1200810,1,R1 - 2022 Rebates,0,0.0,None,0
1200870,1,R1 - 2022 Rebates,1,20.0,COMPETITIVE_R2,0
1200900,1,R1 - 2022 Rebates,0,0.0,None,0
1200930,1,R1 - 2022 Rebates,0,0.0,None,0
1200960,1,R3 - 2023 Rebates,0,0.0,None,0
1201110,1,R1 - 2022 Rebates,0,0.0,None,0
1201140,1,R1 - 2022 Rebates,0,0.0,None,0
1201170,1,R1 - 2022 Rebates,0,0.0,None,0
1201200,1,R3 - 2023 Rebates,0,0.0,None,0
1201230,1,R1 - 2022 Rebates,0,0.0,None,0
1201440,1,R1 - 2022 Rebates,1,20.0,COMPETITIVE_R2,0
1201470,1,R1 - 2022 Rebates,0,0.0,None,0
1201560,1,R1 - 2022 Rebates,0,0.0,None,0
1201590,1,R1 - 2022 Rebates,0,0.0,None,0
1201710,0,,1,0.0,COMPETITIVE_R2,0
1201830,1,R1 - 2022 Rebates,0,0.0,None,0
1201950,1,R1 - 2022 Rebates,0,0.0,None,0
1201980,1,R1 - 2022 Rebates,0,0.0,None,0
1202013,1,R1 - 2022 Rebates,0,0.0,None,0
1300001,1,R1 - 2022 Rebates,0,0.0,None,0
1300090,1,R1 - 2022 Rebates,0,0.0,None,0
1300210,1,R1 - 2022 Rebates,0,0.0,None,0
1300420,1,R1 - 2022 Rebates,1,15.0,COMPETITIVE_R2,0
1300440,1,R1 - 2022 Rebates,0,0.0,None,0
1300480,1,R1 - 2022 Rebates,0,0.0,None,0
1300630,1,R1 - 2022 Rebates,0,0.0,None,0
1300660,1,R1 - 2022 Rebates,0,0.0,None,0
1300870,1,R1 - 2022 Rebates,1,6.0,COMPETITIVE_R2,0
1301170,1,R2 - Grants,0,0.0,None,0
1301230,0,,1,50.0,COMPETITIVE_R2,0
1301260,1,R1 - 2022 Rebates,0,0.0,None,0
1301290,1,R1 - 2022 Rebates,0,0.0,None,0
1301680,1,R1 - 2022 Rebates,0,0.0,None,0
1301740,1,R1 - 2022 Rebates,1,50.0,COMPETITIVE_R2,0
1301770,1,R1 - 2022 Rebates,0,0.0,None,0
1301830,1,R1 - 2022 Rebates,0,0.0,None,0
1301860,1,R1 - 2022 Rebates,0,0.0,None,0
1301870,1,R1 - 2022 Rebates,0,0.0,None,0
1301950,1,R1 - 2022 Rebates,0,0.0,None,0
1301980,1,R1 - 2022 Rebates,0,0.0,None,0
1302190,1,R2 - Grants,0,0.0,None,0
1302220,1,R1 - 2022 Rebates,0,0.0,None,0
1302400,1,R1 - 2022 Rebates,1,6.0,COMPETITIVE_R2,0
1302490,1,R1 - 2022 Rebates,0,0.0,None,0
1302520,1,R1 - 2022 Rebates,0,0.0,None,0
1302550,1,R1 - 2022 Rebates,0,0.0,None,0
1302610,1,R1 - 2022 Rebates,0,0.0,None,0
1302730,1,R1 - 2022 Rebates,0,0.0,None,0
1302820,1,R1 - 2022 Rebates,0,0.0,None,0
1303030,1,R1 - 2022 Rebates,0,0.0,None,0
1303090,1,R1 - 2022 Rebates,0,0.0,None,0
1303150,1,R1 - 2022 Rebates,0,0.0,None,0
1303300,1,R1 - 2022 Rebates,0,0.0,None,0
1303330,1,R1 - 2022 Rebates,0,0.0,None,0
1303390,1,R1 - 2022 Rebates,0,0.0,None,0
1303480,1,R1 - 2022 Rebates,0,0.0,None,0
1303510,1,R1 - 2022 Rebates,1,0.0,COMPETITIVE_R2,0
1303570,1,R1 - 2022 Rebates,0,0.0,None,0
1303630,1,R3 - 2023 Rebates,0,0.0,None,0
1303690,1,R1 - 2022 Rebates,0,0.0,None,0
1303720,1,R1 - 2022 Rebates,0,0.0,None,0
1303840,1,R1 - 2022 Rebates,0,0.0,None,0
1303930,1,R1 - 2022 Rebates,0,0.0,None,0
1303960,1,R1 - 2022 Rebates,0,0.0,None,0
1304020,1,R1 - 2022 Rebates,0,0.0,None,0
1304050,1,R1 - 2022 Rebates,0,0.0,None,0
1304200,1,R1 - 2022 Rebates,0,0.0,None,0
1304220,1,R1 - 2022 Rebates,0,0.0,None,0
1304380,1,R1 - 2022 Rebates,1,25.0,COMPETITIVE_R2,0
1304440,1,R1 - 2022 Rebates,0,0.0,None,0
1304620,1,R1 - 2022 Rebates,0,0.0,None,0
1304800,1,R1 - 2022 Rebates,0,0.0,None,0
1304950,1,R1 - 2022 Rebates,0,0.0,None,0
1305280,1,R1 - 2022 Rebates,0,0.0,None,0
1600002,1,R2 - Grants,0,0.0,None,0
1600300,1,R1 - 2022 Rebates,0,0.0,None,0
1600360,1,R2 - Grants,0,0.0,None,0
1601500,1,R1 - 2022 Rebates,0,0.0,None,0
1601830,1,R1 - 2022 Rebates,0,0.0,None,0
1601920,1,R1 - 2022 Rebates,0,0.0,None,0
1602220,1,R1 - 2022 Rebates,0,0.0,None,0
1602490,1,R1 - 2022 Rebates,0,0.0,None,0
1602970,1,R1 - 2022 Rebates,0,0.0,None,0
1603060,1,R1 - 2022 Rebates,0,0.0,None,0
1603180,1,R1 - 2022 Rebates,0,0.0,None,0
1603270,1,R1 - 2022 Rebates,0,0.0,None,0
1603420,1,R1 - 2022 Rebates,0,0.0,None,0
1700004,1,R1 - 2022 Rebates,0,0.0,None,0
1700110,1,R2 - Grants,0,0.0,None,0
1700122,1,R1 - 2022 Rebates,0,0.0,None,0
