nces_id,is_charter
200710,0
200715,0
200720,0
200730,0
200760,0
200770,0
200775,0
200780,0
200800,0
5100090,0
200840,0
200862,0
1900031,0
400001,0
400003,0
3001860,0
400005,0
400016,1
400018,1
400019,1
400020,1
400021,0
400022,0
400023,0
400026,0
400028,1
400031,1
400033,1
400034,1
400037,1
400040,1
400041,1
400043,1
400047,1
400052,1
400053,1
400054,1
400056,1
400057,1
400061,1
400065,1
400068,1
400069,1
400070,1
400071,1
400072,1
400074,1
400075,1
400077,1
400078,1
400079,1
400081,1
400082,0
400083,1
400089,1
400090,1
400092,1
400093,1
400095,1
400096,1
400097,1
400098,1
400099,1
400100,1
400102,1
400103,1
400106,1
400107,1
400108,1
400111,1
400112,1
400115,1
400120,0
400121,1
400122,1
400124,1
400126,1
400130,1
400131,1
400134,1
400135,1
400141,1
400144,1
400145,1
400147,1
400149,1
400150,1
400151,1
400153,1
400154,1
400157,1
400159,1
400163,0
400165,1
400181,1
400182,1
400184,1
400185,1
400187,1
100005,0
400191,1
400197,0
400201,1
400202,1
400204,1
400205,1
400208,1
400209,1
400210,1
400211,1
400212,0
400213,1
400217,1
400218,1
400219,1
400221,1
400223,1
400225,1
400227,1
400229,1
400230,1
400231,1
400232,1
400235,1
400238,1
400239,1
400241,1
400243,1
400244,1
400246,1
400248,1
400254,1
400255,1
400258,1
400259,1
400261,1
400263,1
400264,1
400266,1
400267,1
400268,1
400273,1
400274,1
400275,1
400276,1
400278,1
400279,1
400280,1
400281,1
400282,1
400284,1
400288,1
400290,1
400295,0
400303,1
400310,1
400311,1
400315,0
400316,0
400317,1
400318,1
400320,1
400321,1
400322,1
400323,1
400326,1
400327,1
400329,1
400330,1
400332,1
400339,1
400340,1
400341,0
400343,1
400345,0
400347,0
400348,0
400349,0
400351,1
400352,1
400353,1
400354,1
400355,1
400356,1
400357,1
400359,1
400361,1
400363,1
400364,1
400366,1
400367,1
400368,1
400370,1
400373,1
400374,1
400376,1
400377,1
400381,1
400382,1
400384,1
400385,1
400386,1
400387,1
400388,1
400389,1
400390,1
400391,1
400394,1
400395,1
400397,1
400399,1
400401,1
400402,1
400403,1
400404,1
400405,1
400406,1
400407,1
400409,1
400413,1
400414,1
400415,1
400417,1
400419,0
400420,1
400423,1
400424,1
400425,1
400427,1
400429,1
400432,1
400438,1
400439,1
400440,1
400441,1
400442,1
400444,1
400445,1
400447,1
400448,1
1903270,0
400455,0
400457,0
400458,0
400459,0
400460,0
400461,0
400463,0
400480,0
400520,0
400600,0
400607,0
400608,1
400610,1
400612,0
400613,1
400614,1
400615,0
400616,1
400618,1
400619,1
400621,1
400625,1
400626,1
400630,0
400632,1
400633,1
400636,1
400637,1
400638,1
400640,1
400641,1
400649,1
400653,1
400655,1
400680,0
400720,0
400745,1
400746,1
400747,1
400748,1
400750,0
400751,1
400752,0
400754,1
400755,1
400756,1
400757,1
400758,1
400760,1
400762,0
400763,1
400764,1
400765,0
400766,1
400768,1
400769,1
400770,1
400771,1
400772,0
400773,0
400774,1
400775,1
400776,1
400777,0
400778,1
400779,0
