0a. Has committed ESBs?,1a. State,1b. Local Education Agency (LEA) or entity name,1c. LEA ID,1d. Street address 1,1e. Street address 2,1f. City,1g. State,1h. ZIP code,1i. Website,1j. Has LEA ID?,1k. LEA type (number),1l. LEA type (name),1m. Supervisory union LEA ID,1n. Locale (full number),1o. Locale broad type (number),1p. Locale broad type (name),1q. Census Region,1r. Census Division,1s. Latitude,1t. Longitude ,2a. Total number of buses,2b. Contractor used for some or all of buses?,3a. Number of ESBs committed ,3b. Number of delivered or operating ESBs,3c. Number of ESBs awarded,3d. Number of ESBs ordered,3e. Number of ESBs delivered,3f. Number of ESBs operating,3g. Number of batches,3h. Size of batch 1,3h. Size of batch 2,3h. Size of batch 3,3h. Size of batch 4,3h. Size of batch 5,3i. Percent of fleet that is electric,3j. Government agency involved (non-funding),3k. Utility/energy company involved 1,3k. Utility/energy company involved 2,3k. Utility/energy company involved 3,3l. Other groups involved 1,3l. Other groups involved 2,3l. Other groups involved 3,3m. Other notes,4a. Tribal school district?,4b. Number of students in district,4c. Number of schools in district,4d. Percentage of schools in district that are Title I schoolwide eligible,4e. Percentage of students in district eligible for free or reduced price lunch,4f. Median household income,4g. Percent of population below the poverty level,4h. Percent one race: White ,4i. Percent race alone or multiracial: White,4j. Percent one race: Black or African American ,4k. Percent race alone or multiracial: Black or African American,4l. Percent one race: American Indian and Alaska Native ,4m. Percent race alone or multiracial: American Indian and Alaska Native,4n. Percent one race: Asian ,4o. Percent race alone or multiracial: Asian,4p. Percent one race: Native Hawaiian and Other Pacific Islander ,4q. Percent race alone or multiracial: Native Hawaiian and Other Pacific Islander,4r. Percent one race: some other race ,4s. Percent race alone or multiracial: Some other race,4t. Percent two or more races,4u. Percent Hispanic or Latino (of any race) ,5a. EPA Region,5b. Percent non-white and/or Hispanic,5c. Quartile: percent non-white and/or Hispanic,5d. Percent low-income (200% of federal poverty level),5e. Quartile: percent low-income,5f. PM2.5 concentration,5g. Quartile: PM2.5 concentration,5h. Ozone concentration,5i. Quartile: ozone concentration,5j. Percent of school children with a disability,5k. Quartile: percent of school children with a disability,5l. Average rate of asthma among adults aged 18 and older,5m. Quartile: average rate of asthma,5n. Qualified for American Rescue Plan funding? ,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,5p. EPA 2023 Clean School Bus Grant & Rebate Programs prioritized school district?,5q. WRI Priority Outreach District (POD)?,6a. Has any expression of interest in ESBs?,6b. ARP 2021 waitlist position,6c. DERA school bus rebates 2020 waitlist position,6d. DERA school bus rebates 2021 waitlist position,6e. Applied for ESB funding but not awarded
no,MICHIGAN,Portland Public Schools,2629120,1100 IONIA RD,,PORTLAND,MI,48875.0,http://www.portlandk12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,Midwest,East North Central,42.881121,-84.918723,26.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2036.0,4.0,0.0,0.32662082514734775,77280.0,0.044000000000000004,0.937,0.971,0.009000000000000001,0.025,0.001,0.00025,0.013000000000000001,0.013000000000000001,0.0,0.0,0.004,0.016,0.035,0.019,5.0,0.105427088,2.0,0.204813591,2.0,7.830781141,3.0,55.44888698,1.0,0.021,1.0,0.103302566463344,3.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Posen Consolidated School District No. 9,2629130,10575 MICHIGAN AVE,,POSEN,MI,49776.0,http://www.posen.k12.mi.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,Midwest,East North Central,45.268367,-83.697697,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,216.0,2.0,1.0,0.5694444444444444,48977.0,0.187,0.97,0.986,0.006999999999999999,0.009000000000000001,0.002,9e-05,0.0,0.0,0.0,0.0,0.006,0.009000000000000001,0.016,0.006999999999999999,5.0,0.041538286,1.0,0.29887025,3.0,5.5684769,1.0,53.14918597,1.0,0.109,4.0,0.10494203549764,4.0,No,Yes,Yes,False,1.0,,,,
no,MICHIGAN,Potterville Public Schools,2629160,422 N HIGH ST,,POTTERVILLE,MI,48876.0,http://ppsvikings.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,41.0,4,Rural,Midwest,East North Central,42.630581,-84.736374,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,753.0,3.0,1.0,0.5086321381142098,61938.0,0.11599999999999999,0.9059999999999999,0.945,0.02,0.033,0.011000000000000001,0.00033,0.012,0.013999999999999999,0.0,0.0,0.009000000000000001,0.032,0.043,0.106,5.0,0.17560419,3.0,0.198215953,1.0,8.012400666,3.0,55.096983,1.0,0.179,4.0,0.10303620895367499,3.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Powell Township Schools,2629190,101 DEUTSCH AVE,,BIG BAY,MI,49808.0,http://powellschool.com,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,Midwest,East North Central,46.817644,-87.729157,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,42.0,1.0,0.0,0.7619047619047619,41563.0,0.153,0.9329999999999999,0.997,0.003,0.004,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.023,0.064,0.0,5.0,0.046511628,1.0,0.301998035,3.0,4.80787615,1.0,52.55298551,1.0,,,0.10800000000000001,4.0,No,Yes,Yes,False,1.0,,,,
no,MICHIGAN,North Central Area Schools,2629220,W5465 E 3RD ST,,HERMANSVILLE,MI,49847.0,http://ncajets.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,Midwest,East North Central,45.710674,-87.602391,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,326.0,3.0,1.0,0.48466257668711654,59621.0,0.09300000000000001,0.9840000000000001,0.9940000000000001,0.0,0.003,0.003,3e-05,0.002,0.006,0.0,0.0,0.001,0.002,0.01,0.013999999999999999,5.0,0.100287281,2.0,0.299947767,3.0,5.462647785,1.0,54.89267784,1.0,0.027999999999999997,1.0,0.10907451701931899,4.0,No,Yes,Yes,False,1.0,,,,
no,MICHIGAN,Quincy Community Schools,2629250,1 EDUCATIONAL PKWY,,QUINCY,MI,49082.0,http://www.quincyschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,Midwest,East North Central,41.9397,-84.876701,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1149.0,3.0,0.6666666666666666,0.4856396866840731,60354.0,0.135,0.985,0.993,0.002,0.004,0.002,4e-05,0.001,0.002,0.0,0.0,0.002,0.005,0.008,0.006999999999999999,5.0,0.0920213,2.0,0.30079655,3.0,8.139207119,3.0,57.90776044,2.0,0.045,2.0,0.108201363838513,4.0,No,No,Yes,False,1.0,,,,
no,MICHIGAN,Rapid River Public Schools,2629340,10070 US HIGHWAY 2,,RAPID RIVER,MI,49878.0,http://www.rapidriver.k12.mi.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,45.914404,-86.926335,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,278.0,1.0,1.0,0.5215827338129496,61875.0,0.086,0.924,0.968,0.0,0.006999999999999999,0.021,7e-05,0.001,0.004,0.001,0.004,0.005,0.009000000000000001,0.048,0.006,5.0,0.073075619,1.0,0.270430654,2.0,5.196564645,1.0,56.86988178,2.0,0.015,1.0,0.103467768732347,3.0,No,Yes,No,False,1.0,,,,
no,MICHIGAN,Ravenna Public Schools,2629370,12322 STAFFORD ST,,RAVENNA,MI,49451.0,http://www.ravennaschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,43.189836,-85.939691,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1030.0,3.0,1.0,0.5067961165048543,61394.0,0.096,0.9229999999999999,0.963,0.006999999999999999,0.027999999999999997,0.003,0.00028,0.002,0.002,0.001,0.001,0.02,0.038,0.043,0.051,5.0,0.111269338,2.0,0.235031394,2.0,7.736093845,3.0,62.59469728,4.0,0.048,2.0,0.108012222968435,4.0,No,Yes,No,False,1.0,,,,
no,MICHIGAN,Reading Community Schools,2629400,301 CHESTNUT ST,,READING,MI,49274.0,http://www.readingrangers.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,41.837696,-84.74545,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,696.0,2.0,1.0,0.6221264367816092,51250.0,0.205,0.9570000000000001,0.982,0.008,0.009000000000000001,0.0,9e-05,0.004,0.009000000000000001,0.0,0.0,0.006,0.008,0.025,0.027000000000000003,5.0,0.045932135,1.0,0.361428489,4.0,8.168896251,3.0,57.71655583,2.0,0.039,2.0,0.11206729353121099,4.0,No,Yes,Yes,False,1.0,,,,
yes,TEXAS,LITTLE CYPRESS-MAURICEVILLE CISD,4827690,6586 FM 1130,,ORANGE,TX,77632.0,http://www.lcmcisd.org/,yes,1.0,Regular public school district that is not a component of a supervisory union,,22.0,2,Suburban,South,West South Central,30.151975,-93.758688,39.0,,11.0,0.0,11.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.28205128205128205,,,,,,,,,No,3340.0,6.0,1.0,0.5107784431137724,80594.0,0.11,0.8759999999999999,0.927,0.046,0.052000000000000005,0.003,0.0005200000000000001,0.017,0.02,0.0,0.001,0.006,0.039,0.052000000000000005,0.057999999999999996,6.0,0.235645893,3.0,0.245187301,2.0,8.636733775,4.0,62.077998,4.0,0.049,2.0,0.0923574722904113,2.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Reed City Area Public Schools,2629490,225 W Church Ave,,Reed City,MI,49677.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,43.866514,-85.512644,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1394.0,4.0,0.5,0.6025824964131994,52479.0,0.11699999999999999,0.934,0.97,0.018000000000000002,0.027999999999999997,0.001,0.00028,0.001,0.006,0.0,0.0,0.006,0.024,0.04,0.021,5.0,0.089718056,2.0,0.370759943,4.0,6.383767734,2.0,57.87188146,2.0,0.08,4.0,0.11297658576661,4.0,No,Yes,No,False,1.0,,,,
no,MICHIGAN,Reese Public Schools,2629520,1696 S VAN BUREN RD,,REESE,MI,48757.0,http://www.reese.k12.mi.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,43.460152,-83.682991,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,752.0,3.0,0.6666666666666666,0.550531914893617,63514.0,0.091,0.9490000000000001,0.9670000000000001,0.022000000000000002,0.027999999999999997,0.006,0.00028,0.002,0.002,0.0,0.0,0.004,0.009000000000000001,0.018000000000000002,0.037000000000000005,5.0,0.059033989,1.0,0.284002819,3.0,7.359187301,2.0,56.36716674,2.0,0.096,4.0,0.106091968979336,4.0,No,Yes,No,False,1.0,,,,
no,MICHIGAN,Reeths-Puffer Schools,2629540,991 W GILES RD,,MUSKEGON,MI,49445.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,22.0,2,Suburban,Midwest,East North Central,43.27709,-86.267341,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,3571.0,7.0,0.8571428571428571,0.5407448893867264,71466.0,0.059000000000000004,0.912,0.963,0.016,0.03,0.008,0.0003,0.006,0.016,0.0,0.0,0.005,0.028999999999999998,0.053,0.055,5.0,0.148843476,2.0,0.268785089,2.0,7.199650535,2.0,65.2692824,4.0,0.021,1.0,0.11070213105777099,4.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Republic-Michigamme Schools,2629580,227 MAPLE ST,,REPUBLIC,MI,49879.0,http://www.r-mschool.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,Midwest,East North Central,46.370714,-87.982854,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,86.0,1.0,1.0,0.6046511627906976,47679.0,0.161,0.9790000000000001,0.99,0.001,0.001,0.002,1e-05,0.003,0.003,0.0,0.0,0.003,0.013000000000000001,0.012,0.01,5.0,0.046511628,1.0,0.301998035,3.0,4.80787615,1.0,52.55298551,1.0,,,0.10800000000000001,4.0,No,Yes,Yes,False,1.0,,,,
no,MICHIGAN,Richmond Community Schools,2629670,35276 DIVISION RD,,RICHMOND,MI,48062.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,31.0,3,Town,Midwest,East North Central,42.808451,-82.761365,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,1585.0,3.0,0.0,0.3476340694006309,74543.0,0.10800000000000001,0.905,0.932,0.032,0.033,0.001,0.00033,0.0,0.006999999999999999,0.025,0.025,0.006999999999999999,0.027000000000000003,0.03,0.034,5.0,0.102076868,2.0,0.209883027,2.0,8.748308445,4.0,62.95241125,4.0,0.006999999999999999,1.0,0.10734510585778001,4.0,No,No,No,False,1.0,,,,
no,MICHIGAN,River Rouge School District of the City of,2629760,1460 COOLIDGE HWY,,RIVER ROUGE,MI,48218.0,http://riverrougeschools.org/home/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,42.274994,-83.13689,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2464.0,5.0,1.0,0.8737824675324676,23250.0,0.462,0.38299999999999995,0.499,0.486,0.528,0.002,0.00528,0.0,0.0,0.003,0.003,0.01,0.075,0.11599999999999999,0.11699999999999999,5.0,0.678182626,4.0,0.706731837,4.0,10.50352188,4.0,61.89133366,3.0,0.055999999999999994,3.0,0.145147412375047,4.0,No,Yes,Yes,True,1.0,,,,
no,MICHIGAN,River Valley School District,2629790,15480 THREE OAKS RD,,THREE OAKS,MI,49128.0,http://www.rivervalleyschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,41.838669,-86.611207,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,497.0,3.0,1.0,0.5573440643863179,62738.0,0.106,0.902,0.975,0.005,0.015,0.003,0.00015,0.002,0.015,0.0,0.0,0.015,0.051,0.07200000000000001,0.055999999999999994,5.0,0.152353824,2.0,0.24689172,2.0,7.930336296,3.0,65.15412819,4.0,0.076,3.0,0.10646490284195201,4.0,No,Yes,No,False,1.0,,,,
no,MICHIGAN,Riverview Community School District,2629910,13425 COLVIN ST,,RIVERVIEW,MI,48193.0,http://www.riverviewschools.com/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,42.17913,-83.18783,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2831.0,8.0,0.5,0.49028611797951255,62933.0,0.079,0.8490000000000001,0.902,0.079,0.08800000000000001,0.001,0.0008800000000000001,0.006999999999999999,0.013000000000000001,0.0,0.0,0.012,0.028999999999999998,0.053,0.053,5.0,0.175421209,3.0,0.203501817,1.0,9.877780636,4.0,61.82660541,3.0,0.052000000000000005,3.0,0.104834450137958,4.0,No,No,No,False,1.0,,,,2022 CSBP rebate
no,MICHIGAN,Rochester Community School District,2629940,501 W UNIVERSITY DR,,ROCHESTER,MI,48307.0,http://www.rochester.k12.mi.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,42.68126,-83.139771,110.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,15017.0,22.0,0.0,0.1498301924485583,114101.0,0.039,0.807,0.845,0.027999999999999997,0.038,0.001,0.00037999999999999997,0.113,0.124,0.0,0.0,0.01,0.03,0.040999999999999995,0.044000000000000004,5.0,0.203812094,3.0,0.104286711,1.0,9.427437973,4.0,62.14759991,4.0,0.026000000000000002,1.0,0.09385097963958029,2.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Rockford Public Schools,2630030,350 N MAIN ST,,ROCKFORD,MI,49341.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,43.1273,-85.55745,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,7719.0,14.0,0.06666666666666667,0.16284492809949475,101479.0,0.04,0.929,0.9640000000000001,0.008,0.022000000000000002,0.002,0.00022000000000000003,0.009000000000000001,0.019,0.0,0.0,0.013999999999999999,0.025,0.037000000000000005,0.034,5.0,0.086383265,2.0,0.129659122,1.0,7.945033785,3.0,60.28681956,3.0,0.064,3.0,0.09913594032650691,3.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Rogers City Area Schools,2630060,1033 W HURON AVE,,Rogers City,MI,49779.0,http://www.rcashurons.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,33.0,3,Town,Midwest,East North Central,45.41666,-83.824488,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,452.0,2.0,1.0,0.6438053097345132,50743.0,0.127,0.97,0.985,0.002,0.006,0.003,6e-05,0.006,0.006999999999999999,0.0,0.0,0.004,0.006,0.015,0.017,5.0,0.045503675,1.0,0.309014267,3.0,5.531968576,1.0,52.99618559,1.0,0.038,2.0,0.10612307854285101,4.0,No,No,Yes,False,1.0,,,,
no,MICHIGAN,Romeo Community Schools,2630090,316 N MAIN ST,,ROMEO,MI,48065.0,http://www.romeok12.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,42.80588,-83.012771,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,5185.0,7.0,0.2857142857142857,0.2786885245901639,93650.0,0.055999999999999994,0.927,0.9620000000000001,0.018000000000000002,0.024,0.0,0.00024,0.008,0.013999999999999999,0.0,0.0,0.011000000000000001,0.028999999999999998,0.035,0.045,5.0,0.085614843,2.0,0.144372277,1.0,9.058437942,4.0,61.98432228,4.0,0.037000000000000005,2.0,0.103438201205377,3.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Romulus Community Schools,2630120,36540 GRANT ST,,ROMULUS,MI,48174.0,http://romulus.net,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,42.2187,-83.397061,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,2281.0,8.0,0.8888888888888888,0.757562472599737,59172.0,0.175,0.41,0.451,0.518,0.557,0.0,0.00557,0.006999999999999999,0.008,0.0,0.0,0.016,0.018000000000000002,0.05,0.027000000000000003,5.0,0.586869695,4.0,0.316712431,3.0,9.828915927,4.0,61.004192,3.0,0.034,2.0,0.126855844836624,4.0,No,Yes,Yes,True,1.0,,,,2022 CSBP rebate
yes,ARKANSAS,LITTLE ROCK SCHOOL DISTRICT,509000,810 W MARKHAM ST,,LITTLE ROCK,AR,72201.0,http://www.lrsd.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,12.0,1,Urban,South,West South Central,34.74966,-92.279421,272.0,Yes,50.0,0.0,50.0,0.0,0.0,0.0,2.0,25.0,25.0,0.0,0.0,0.0,0.18382352941176472,,,,,,,,,No,21456.0,40.0,0.8095238095238095,0.7074011931394482,53334.0,0.17,0.47,0.49700000000000005,0.43200000000000005,0.44799999999999995,0.004,0.00448,0.024,0.028999999999999998,0.001,0.001,0.036000000000000004,0.046,0.033,0.084,6.0,0.5552633,4.0,0.363873256,4.0,10.02922534,4.0,56.602809,2.0,0.068,3.0,0.10443406497381699,3.0,No,Yes,Yes,False,1.0,,,,2022 CSBP rebate
no,MICHIGAN,Royal Oak Schools,2630300,800 DeVillen Avenue,,ROYAL OAK,MI,48073.0,http://www.royaloakschools.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,21.0,2,Suburban,Midwest,East North Central,42.514487,-83.134783,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,4865.0,9.0,0.2222222222222222,0.25837615621788285,86992.0,0.063,0.86,0.8959999999999999,0.055999999999999994,0.062,0.001,0.00062,0.037000000000000005,0.053,0.0,0.001,0.006999999999999999,0.021,0.038,0.044000000000000004,5.0,0.154006995,2.0,0.157834043,1.0,10.20850069,4.0,63.58744409,4.0,0.038,2.0,0.0959997033161166,2.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Rudyard Area Schools,2630360,11185 W 2ND ST,,RUDYARD,MI,49780.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,46.229133,-84.597004,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,603.0,1.0,1.0,0.7131011608623549,53327.0,0.249,0.5670000000000001,0.722,0.136,0.222,0.11900000000000001,0.00222,0.008,0.016,0.0,0.003,0.011000000000000001,0.039,0.159,0.034,5.0,0.36213081,4.0,0.336564146,3.0,5.125337558,1.0,52.62438563,1.0,0.161,4.0,0.11096936343241699,4.0,No,Yes,Yes,False,1.0,,,,
no,MICHIGAN,Saginaw School District of the City of,2630390,550 MILLARD ST,,SAGINAW,MI,48607.0,,Yes,1.0,Regular public school district that is not a component of a supervisory union,,13.0,1,Urban,Midwest,East North Central,43.42745,-83.934981,44.0,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,5286.0,16.0,0.8125,0.8473325766174802,34712.0,0.33399999999999996,0.452,0.5329999999999999,0.43,0.46799999999999997,0.003,0.00468,0.002,0.005,0.0,0.001,0.026000000000000002,0.069,0.086,0.14300000000000002,5.0,0.548312788,4.0,0.52361163,4.0,7.538766718,2.0,55.82907947,1.0,0.11699999999999999,4.0,0.132085159915343,4.0,No,Yes,Yes,False,1.0,,,,
no,MICHIGAN,Saginaw Township Community Schools,2630450,3465 N CENTER RD,,SAGINAW,MI,48603.0,http://www.stcs.org,Yes,1.0,Regular public school district that is not a component of a supervisory union,,22.0,2,Suburban,Midwest,East North Central,43.456124,-84.017054,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,4596.0,8.0,0.625,0.54852045256745,58619.0,0.11199999999999999,0.7709999999999999,0.804,0.136,0.146,0.005,0.00146,0.04,0.049,0.001,0.001,0.013999999999999999,0.024,0.033,0.084,5.0,0.261883069,3.0,0.24890558,2.0,7.503198575,2.0,55.77622303,1.0,0.08,4.0,0.104191065576378,3.0,No,No,No,False,1.0,,,,
no,MICHIGAN,North Dickinson County Schools,2630480,W6588 STATE HIGHWAY M69,,FELCH,MI,49831.0,http://www.go-nordics.com,Yes,1.0,Regular public school district that is not a component of a supervisory union,,43.0,4,Rural,Midwest,East North Central,46.011418,-87.95998,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,260.0,1.0,1.0,0.4076923076923077,67390.0,0.040999999999999995,0.95,0.9990000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.046,0.049,0.039,5.0,0.030233698,1.0,0.213433568,2.0,5.286440472,1.0,53.17267384,1.0,0.012,1.0,0.100887775891341,3.0,No,Yes,Yes,False,1.0,,,,
yes,ARIZONA,Littleton Elementary District (4278),404440,1600 S 107TH AVE,,AVONDALE,AZ,85323.0,http://www.littletonaz.org/,Yes,1.0,Regular public school district that is not a component of a supervisory union,,22.0,2,Suburban,West,Mountain,33.431714,-112.290287,32.0,,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0625,,,,,,,,,No,5877.0,9.0,0.7777777777777778,0.6750042538710226,78412.0,0.11,0.526,0.68,0.099,0.111,0.021,0.00111,0.02,0.028999999999999998,0.001,0.006,0.17,0.312,0.163,0.645,9.0,0.774675218,4.0,0.357737214,4.0,7.467373913,2.0,65.65805805,4.0,0.043,2.0,0.104960118544956,4.0,No,No,No,False,1.0,,,,2022 CSBP rebate
yes,CALIFORNIA,Live Oak Unified,622050,2201 Pennington Rd.,,Live Oak,CA,95953.0,http://www.lousd.k12.ca.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,31.0,3,Town,West,Pacific,39.276397,-121.654561,11.0,,4.0,2.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.36363636363636365,,,,,,,,,No,1972.0,6.0,0.0,0.7175456389452333,63733.0,0.16899999999999998,0.556,0.6890000000000001,0.015,0.025,0.011000000000000001,0.00025,0.151,0.17600000000000002,0.01,0.012,0.113,0.191,0.145,0.41100000000000003,9.0,0.531064779,4.0,0.329056551,3.0,8.261854031,3.0,59.68111557,3.0,0.069,3.0,0.0977022748342009,3.0,No,No,Yes,True,1.0,,,,"Rural School Bus Pilot Project Year 2, Year 3"
no,MICHIGAN,Sandusky Community School District,2630840,191 E PINETREE LN,,SANDUSKY,MI,48471.0,http://www.sandusky.k12.mi.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,32.0,3,Town,Midwest,East North Central,43.412969,-82.822635,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,979.0,2.0,0.5,0.5822267620020429,51941.0,0.146,0.941,0.977,0.009000000000000001,0.019,0.001,0.00018999999999999998,0.006999999999999999,0.008,0.0,0.0,0.006,0.027000000000000003,0.037000000000000005,0.042,5.0,0.066097773,1.0,0.381870119,4.0,7.287640267,2.0,58.37976131,2.0,0.087,4.0,0.1120204018227,4.0,No,No,No,False,1.0,,,,
no,MICHIGAN,Saranac Community Schools,2630930,225 PLEASANT ST,,SARANAC,MI,48881.0,http://www.saranac.k12.mi.us,Yes,1.0,Regular public school district that is not a component of a supervisory union,,42.0,4,Rural,Midwest,East North Central,42.928,-85.2055,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,No,852.0,2.0,0.5,0.45539906103286387,75295.0,0.063,0.958,0.983,0.002,0.005,0.001,5e-05,0.002,0.01,0.0,0.0,0.006,0.028999999999999998,0.032,0.05,5.0,0.108819238,2.0,0.260149922,2.0,7.897640504,3.0,56.67803477,2.0,0.034,2.0,0.102995988538681,3.0,No,Yes,No,False,1.0,,,,
